流水號,主編號,屬性,又音
662,8558,又唸作,tsi̍t-bu̍t
663,8571,又唸作,hôo
664,8580,又唸作,thuànn-khui
665,8597,又唸作,iah
666,8597,又唸作,ah
667,8597,又唸作,á
668,8597,又唸作,iá
669,8606,又唸作,bô-sim-tsiânn
670,8607,又唸作,bô-thian-lí
671,8609,又唸作,iah-m̄-kò
672,8609,又唸作,ah-m̄-kò
673,8609,又唸作,á-m̄-kò
674,8609,又唸作,iá-m̄-kò
675,8611,又唸作,bô-kâng
676,8621,又唸作,iah-buē/iah-bē
677,8621,又唸作,ah-buē/ah-bē
678,8621,又唸作,á-buē/á-bē
679,8621,又唸作,iá-buē/iá-bē
680,8622,又唸作,--bô-tá-kín
681,8635,又唸作,bû-sóo-uì
682,8642,又唸作,iah sī
683,8642,又唸作,ah sī
684,8642,又唸作,á sī
685,8642,又唸作,iá sī
686,8646,又唸作,bô-hān
687,8648,合音唸作,bua̋-kín
688,8658,又唸作,bô-juā-kú
689,8658,又唸作,bô-luā-kú
690,8675,又唸作,bô-thuân
691,8676,合音唸作,buaih
692,8679,又唸作,pâi-tsiò
693,8681,又唸作,bô-lōo-iōng
694,8686,又唸作,bô-gî-gōo
695,8689,又唸作,iah-koh
696,8689,又唸作,ah-koh
697,8689,又唸作,á-koh
698,8689,又唸作,iá-koh
699,8690,又唸作,iah-koh-teh
700,8690,又唸作,ah-koh-teh
701,8690,又唸作,á-koh-teh
702,8690,又唸作,iá-koh-teh
703,8734,又唸作,huat-tsoh
704,8776,又唸作,huat-kà
705,8778,又唸作,puh-ínn
706,8807,又唸作,tîng-sū
707,8892,又唸作,tse̍h-khuì
708,8912,又唸作,tsua̍t-tsíng
709,8939,又唸作,hip-siōng
710,8940,又唸作,hip-siōng-ki
711,8941,又唸作,hip-siōng-kuán
712,8962,又唸作,pa̍t-á
713,8993,又唸作,tshiang-pôo
714,9069,又唸作,ba̍uh
715,9074,又唸作,ba̍uh-kang
716,9107,又唸作,kuì-sam-sam
717,9112,又唸作,tāi-khuánn
718,9123,又唸作,ba̍uh-thâu
719,9139,又唸作,hiong-tshuan
720,9148,又唸作,pua̍h--tó
721,9158,又唸作,páinn-kha
722,9205,又唸作,tuī-guân
723,9268,又唸作,sūn-sū
724,9315,又唸作,tn̂g
725,9348,俗唸作,thn̂g-hiō-sû
726,9377,又唸作,tsè-kuân
727,9383,又唸作,lap
728,9416,又唸作,uân-kóng-mn̂g
729,9416,又唸作,uân-kióng-mn̂g
730,9426,又唸作,thôo-thuh
731,9440,合音唸作,kè tsa̋u-kiánn
732,9445,又唸作,ma-ma
733,9508,又唸作,giú
734,9529,又唸作,giú-tuā-soh
735,9532,又唸作,sńg-sit
736,9555,又唸作,sún-sîn
737,9588,俗唸作,sin-sián
738,9593,又唸作,la̍k-kuân
739,9614,又唸作,ē-īng-tsit
740,9614,又唸作,ē-īng-lit
741,9614,又唸作,ē-īng-eh
742,9622,又唸作,ē-sái-tsit
743,9622,又唸作,ē-sái-lit
744,9622,又唸作,ē-sái-eh
745,9626,俗唸作,huē-kè
746,9629,又唸作,iûnn-thô
747,9632,又唸作,ē-tsò-tsit/ē-tsuè-tsit
748,9632,又唸作,ē-tsò-lit/ē-tsuè-lit
749,9632,又唸作,ē-tsò-eh/ē-tsuè-eh
750,9634,又唸作,gia̍p-bū-guân
751,9642,又唸作,ē-kham-tsit
752,9642,又唸作,ē-kham-lit
753,9642,又唸作,ē-kham-eh
754,9656,又唸作,ē-hiáng
755,9663,又唸作,heh
756,9663,又唸作,hennh
757,9694,又唸作,heh-khùn
758,9694,又唸作,hennh-khùn
759,9741,俗唸作,ian-tshiân
760,9780,又唸作,pîng-se
761,9818,又唸作,kìm-kī
762,9859,又唸作,tsat-be̍h
763,9872,又唸作,tsuē-kuà
764,9873,又唸作,tsuē-kuà
765,9921,又唸作,meh-á-tshài
766,9923,合音唸作,lueh
767,9924,又唸作,sìng-bió
