序號,主編碼,反義詞對應,音讀
1534,13818,51466,
1535,13833,9897,
1536,13833,26814,
1537,13838,27413,
1538,13843,10758,
1539,13872,2349,
1540,13883,3194,
1541,13782,27385,
1542,13782,26777,
1543,13909,27444,
1544,13912,103,
1545,13914,7785,
1546,13919,27450,
1547,13919,7718,
1548,13921,551,
1549,13921,27452,
1550,13934,441,
1551,13934,8479,
1552,13934,10346,
1553,13935,2193,
1554,13936,5926,
1555,13936,5933,
1556,13936,3088,
1557,13949,8607,
1558,13953,2628,
1559,13953,2631,
1560,13953,2772,
1561,13954,2551,
1562,13954,27479,
1563,13967,265,
1564,13967,2146,
1565,13967,27487,
1566,13968,27490,
1567,13968,2370,
1568,13968,27491,
1569,13974,2413,
1570,13996,27513,
1571,14008,1711,
1572,14008,27527,
1573,14013,356,
1574,14013,52108,
1575,14037,8703,
1576,14038,27549,
1577,14040,13967,
1578,14041,875,
1579,14041,27550,
1580,14043,27551,
1581,14068,27566,
1582,14068,27567,
1583,14068,27568,
1584,14079,11267,
1585,14090,12085,
1586,14090,6801,
1587,14094,13891,
1588,14123,10858,
1589,14125,7613,
1590,14125,27598,
1591,14128,27599,
1592,14141,27609,
1593,14159,27622,
1594,14159,27623,
1595,14159,27624,
1596,14160,27625,
1597,14163,2277,
1598,14175,27635,
1599,14175,27636,
1600,14177,4778,
1601,14177,4738,
1602,14177,3854,
1603,14177,3878,
1604,14196,5367,
1605,14196,5351,
1606,14196,5557,
1607,14203,2499,
1608,14206,8259,
1609,14206,27654,
1610,14209,27656,
1611,14209,27657,pîng-sìn
1612,14230,1461,
1613,14230,50457,
1614,14242,27662,
1615,14282,27678,
1616,14282,27679,
1617,14285,27683,
1618,14286,2389,
1619,14297,26450,
1620,14297,25289,
1621,14297,27170,huan-lâu
1622,14297,27694,
1623,14298,9035,
1624,14298,6038,
1625,14305,5153,
1626,14305,27699,tsò-uānn
1627,14313,8659,
1628,14318,51973,
1629,14320,3855,
1630,14329,2165,
1631,14330,13766,
1632,14333,12349,
1633,14336,27723,
1634,14340,27726,
1635,14345,2075,ka-ia̍h
1636,14345,27732,lī-tshī
1637,14358,11126,
1638,14358,11125,
1639,14369,3339,
1641,14404,3681,
1642,14399,9585,
1643,14403,27754,
1644,14409,27758,tshè-miā
1645,14417,10970,
1646,14429,6677,
1647,14429,27770,
1648,14430,9657,
1649,14431,2636,
1650,14431,6796,
1651,14431,13921,
1652,14431,25131,
1653,14433,27774,
1654,14440,27782,
1655,14441,27783,
1656,14442,13753,
1657,14450,26836,
1658,14450,27788,thia̍p-huè
1659,14456,5744,
1660,14467,27794,
1661,14478,9933,
1662,14478,9934,
1663,14478,13824,
1664,14478,4951,
1665,14481,9279,
1666,14490,27815,
1667,14489,27815,
1668,14495,12816,
1669,14495,8712,
1670,14496,27818,bān-khuì
1671,14500,27723,
1672,14500,27819,
1673,14533,2908,
1674,14539,27849,
1675,14549,27860,
1676,14549,10099,
1677,14549,26487,
1678,14587,486,
1679,14587,50867,
1680,14610,27892,
1681,14612,10652,
1682,14629,27913,
1683,14633,1489,
1684,14634,50457,
1685,14636,26479,
1686,14636,26487,
1687,14637,14636,
1688,14641,1351,
1689,14641,13720,
1690,14641,25996,
1691,14643,9311,
1692,14646,966,
1693,14646,27917,
1694,14662,2532,
1695,14419,27762,phôo-āu-kha
1696,9897,13833,
