主編號,屬性代號,詞目,音讀,文白,部首,部首序,方言差對應
153,1,七爺,Tshit-iâ,,,,
154,1,刀銎,to-khing,,,,
155,1,又閣,iū-koh,,,,
156,1,人影,lâng-iánn,,,,
157,1,九層塔,káu-tsàn-thah,,,,[方1]0335
158,1,人範,lâng-pān,,,,
159,1,人緣,lâng-iân,,,,
160,1,入學,ji̍p-o̍h/li̍p-o̍h,,,,
161,1,入選,ji̍p-suán/li̍p-suán,,,,
162,1,了錢,liáu-tsînn,,,,[方1]0591
163,1,人頭,lâng-thâu,,,,
164,1,力頭,la̍t-thâu,,,,
165,1,入殮,ji̍p-liām/li̍p-liām,,,,
166,1,入聲,ji̍p-siann/li̍p-siann,,,,
167,1,刁難,thiau-lân,,,,
168,1,人權,jîn-khuân/lîn-khuân,,,,
169,1,丈,tn̄g,白,一,001-02-03,
170,1,三,sam,文,一,001-02-03,
171,1,三,sann,白,一,001-02-03,
172,1,上,tsiūnn,白,一,001-02-03,
173,1,上,tshiūnn,白,一,001-02-03,[方]339
174,1,上,siōng,文,一,001-02-03,
175,1,下,ē,白,一,001-02-03,
176,1,下,hā,文,一,001-02-03,
177,1,下,hē,白,一,001-02-03,
178,1,低,kē,替,人,009-05-07,
179,1,个,ê,,｜,002-02-03,
180,1,丸,uân,,丶,003-02-03,
181,1,久,kú,白,丿,004-02-03,
182,1,么,io,,丿,004-02-03,
183,1,乞,khit,,乙,005-02-03,
184,1,也,iā,,乙,005-02-03,
185,1,亡,bông,,亠,008-01-03,
186,1,凡,huân,,丶,003-02-03,
187,1,凡,huān,,丶,003-02-03,
188,1,千,tshian,文,十,024-01-03,
189,1,千,tshing,白,十,024-01-03,
190,1,叉,tshe,,又,029-01-03,
191,1,口,kháu,白,口,030-00-03,
192,1,土,thóo,,土,032-00-03,
193,1,士,sū,,士,033-00-03,
194,1,大,ta,替,大,037-00-03,
195,1,大,tāi,文,大,037-00-03,
196,1,大,tuā,白,大,037-00-03,[方1]0792
197,1,女,lí/lú,白,女,038-00-03,[方]142
198,1,女,lú,文,女,038-00-03,
199,1,子,tsí,白,子,039-00-03,
200,1,子,tsú,文,子,039-00-03,[方]381
201,1,子,jí/lí,替,子,039-00-03,
202,1,寸,tshùn,,寸,041-00-03,
203,1,小,siáu,文,小,042-00-03,
204,1,小,sió,白,小,042-00-03,[方1]0856
205,1,山,san,文,山,046-00-03,
206,1,山,suann,白,山,046-00-03,
207,1,工,kang,白,工,048-00-03,
208,1,工,kong,文,工,048-00-03,
209,1,己,kí,文,己,049-00-03,
210,1,巳,tsī,白,己,049-00-03,
211,1,巾,kin/kun,,巾,050-00-03,[方]127
212,1,干,kan,,干,051-00-03,
213,1,弓,king,白,弓,057-00-03,
214,1,才,tsâi,,手,064-00-03,
215,1,才,tsiah,替,手,064-00-03,
216,1,才,tshâi,,手,064-00-03,
217,1,下𦜆,ē-ham,,,,
218,1,丈人,tiūnn-lâng,,,,
219,1,三八,sam-pat,,,,
220,1,土人,thóo-lâng,,,,
221,1,大人,tāi-jîn/tāi-lîn,,,,
222,1,大人,tuā-lâng,,,,
223,1,大力,tuā-la̍t,,,,
224,1,小人,siáu-jîn/siáu-lîn,,,,
225,1,川七,tshuan-tshit,,,,
226,1,工人,kang-lâng,,,,
227,1,丈人公,tiūnn-lâng-kong,,,,
228,1,三七仔,sam-tshit-á,,,,
229,1,丈人爸,tiūnn-lâng-pâ,,,,
230,1,三八氣,sam-pat-khuì,,,,
231,1,丈人媽,tiūnn-lâng-má,,,,
232,1,上久,siōng-kú,,,,
233,1,上山,tsiūnn-suann,,,,
234,1,下山,hā-san,,,,
235,1,久久,kú-kú,,,,
236,1,大下,tuā-ē,,,,
237,1,小口,sió-kháu,,,,
238,1,小工,sió-kang,,,,
239,1,才子,tsâi-tsú,,,,
240,1,大丈夫,tāi-tiōng-hu,,,,
241,1,干干仔,kan-kan-á,,,,
242,1,三山國王,Sam-san-kok-ông,,,,
243,1,千千萬萬,tshian-tshian-bān-bān,,,,
244,1,上山頭,tsiūnn-suann-thâu,,,,
245,1,丈公,tiūnn-kong,,,,[方1]0504
246,1,上元,Siōng-guân,,,,
247,1,下元,Hā-guân,,,,
248,1,下勻,ē-ûn,,,,
249,1,大不了,tāi-put-liáu,,,,
250,1,三不五時,sam-put-gōo-sî,,,,
251,1,土公仔,thóo-kong-á,,,,
252,1,小丑仔,siáu-thiú-á,,,,
253,1,土公仔性,thóo-kong-á-sìng,,,,
254,1,上元暝,Siōng-guân-mê/Siōng-guân-mî,,,,
255,1,上午,siōng-ngóo,,,,
256,1,上天,siōng-thian,,,,
257,1,上手,tsiūnn-tshiú,,,,
258,1,上水,tshiūnn-tsuí,,,,[方1]0749
259,1,下午,hā-ngóo,,,,[方1]0114
260,1,下手,hē-tshiú,,,,
261,1,下手,ē-tshiú,,,,
262,1,下水,hā-suí,,,,
263,1,土木,thóo-bo̍k,,,,
264,1,大方,tāi-hong,,,,
265,1,大日,tuā-ji̍t/tuā-li̍t,,,,
266,1,大月,tuā-gue̍h/tuā-ge̍h,,,,
267,1,寸尺,tshùn-tshioh,,,,
268,1,小心,sió-sim,,,,
269,1,小月,sió-gue̍h/sió-ge̍h,,,,
270,1,小木,sió-ba̍k,,,,
271,1,工夫,kang-hu,,,,
272,1,三太子,Sam-thài-tsú,,,,
273,1,上尺工,siāng-tshe-kong,,,,
274,1,三心兩意,sam-sim-lióng-ì,,,,
275,1,大心氣,tuā-sim-khuì,,,,
276,1,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,,,,
277,1,三文魚,sam-bûn-hî/sam-bûn-hû,,,,
278,1,下水湯,hā-suí-thng,,,,
279,1,大爿,tuā-pîng,,,,
280,1,丸仔,uân-á,,,,
281,1,大兄,tuā-hiann,,,,
282,1,工仔,kang-á,,,,
283,1,巾仔,kin-á/kun-á,,,,
284,1,弓仔,king-á,,,,
285,1,大主大意,tuā-tsú-tuā-ì,,,,
286,1,大代誌,tuā tāi-tsì,,,,
287,1,上加,siōng-ke,,,,
288,1,上北,tsiūnn-pak,,,,
289,1,下司,ē-si,,,,
290,1,土包仔,thóo-pau-á,,,,
291,1,小可仔,sió-khuá-á,,,,
292,1,大四界,tuā-sì-kè/tuā-sì-kuè,,,,
293,1,上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,,,,
294,1,下半暝,ē-puànn-mê/ē-puànn-mî,,,,
295,1,上市,tsiūnn-tshī,,,,
296,1,下本,hē-pún,,,,
297,1,大本,tuā-pún,,,,
298,1,小旦,sió-tuànn,,,,
299,1,上目,tsiūnn-ba̍k,,,,
300,1,口白,kháu-pe̍h,,,,
301,1,大目,tuā-ba̍k,,,,
302,1,小生,sió-sing,,,,
303,1,小玉仔,sió-gio̍k-á,,,,
304,1,小白菜,sió-pe̍h-tshài,,,,
305,1,大甲蓆,Tāi-kah-tshio̍h,,,,
306,1,上任,tsiūnn-jīm/tsiūnn-līm,,,,
307,1,久仰,kiú-gióng,,,,
308,1,干休,kan-hiu,,,,
309,1,大名,tuā-miâ,,,,
310,1,大囝,tuā-kiánn,,,,
311,1,小名,sió-miâ,,,,
312,1,小囝,sió-kiánn,,,,
313,1,大同仔,tāi-tông-á,,,,[方1]0235
314,1,上好,siōng hó,,,,
315,1,也好,iā-hó,,,,
316,1,土地,thóo-tē/thóo-tuē,,,,
317,1,土地公,Thóo-tī-kong,,,,[方1]0066
318,1,下早仔,e-tsái-á,,,,[方1]0219
319,1,大耳,tuā-hīnn/tuā-hī,,,,
320,1,大舌,tuā-tsi̍h,,,,[方1]0607
321,1,大伯,tuā-peh,,,,
322,1,大位,tuā-uī,,,,
323,1,工作,kang-tsok,,,,
324,1,山伯英台,San-phik-Ing-tâi,,,,
325,1,大妗,tuā-kīm,,,,
326,1,山尾溜,suann-bué-liu/suann-bé-liu,,,,
327,1,子弟,tsú-tē,,,,
328,1,小弟,sió-tī,,,,
329,1,子弟戲,tsú-tē-hì,,,,
330,1,三更,sann-kenn/sann-kinn,,,,
331,1,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,,,,
332,1,口灶,kháu-tsàu,,,,
333,1,小肚,sió-tōo,,,,
334,1,大肚胿,tuā-tōo-kui,,,,
335,1,三角,sann-kak,,,,
336,1,久見,kiú-kiàn,,,,
337,1,山谷,suann-kok,,,,
338,1,川芎,tshuan-kiong,,,,
339,1,川貝,tshuan-puè,,,,
340,1,干貝,kan-puè,,,,
341,1,千里眼,Tshian-lí-gán,,,,
342,1,三角窗,sann-kak-thang,,,,
343,1,三角褲,sann-kak-khòo,,,,
344,1,千里鏡,tshian-lí-kiànn,,,,
345,1,久來,kú--lâi,,,,
346,1,口供,kháu-king,,,,
347,1,大使,tāi-sài,,,,
348,1,小事,sió-sū,,,,
349,1,小使,siáu-sú,,,,
350,1,工事,kang-sū,,,,
351,1,女兒,lú-jî/lú-lî,,,,
352,1,小叔,sió-tsik,,,,
353,1,小管仔,sió-kńg-á,,,,
354,1,小兒科,sió-jî-kho/sió-lî-kho,,,,
355,1,小兒麻痺,sió-jî-bâ-pì/sió-lî-bâ-pì,,,,
356,1,山坪,suann-phiânn,,,,
357,1,丈姆,tiūnn-ḿ,,,,
358,1,大姆,tuā-ḿ,,,,
359,1,大姊,tuā-tsí,,,,
360,1,大姑,tuā-koo,,,,
361,1,小妹,sió-muē/sió-bē,,,,
362,1,小姐,sió-tsiá,,,,
363,1,小姑,sió-koo,,,,[方1]0971
364,1,丈姆婆,tiūnn-ḿ-pô,,,,
365,1,下底,ē-té/ē-tué,,,,
366,1,大官,ta-kuann,,,,[方1]0682
367,1,大官虎,tuā-kuann-hóo,,,,
368,1,土性,thóo-sìng,,,,
369,1,下性命,hē-sènn-miā/hē-sìnn-miā,,,,
370,1,大房,tuā-pâng,,,,
371,1,大拖,tuā-thua,,,,
372,1,下昏,e-hng,,,,[方1]0220
373,1,山東白仔,suann-tang-pe̍h-á,,,,
374,1,下昏暗,e-hng-àm,,,,
375,1,乞的,khit--ê,,,,
376,1,土直,thóo-ti̍t,,,,
377,1,三肢手,sann-ki-tshiú,,,,
378,1,久長,kú-tn̂g,,,,
379,1,千金,tshian-kim,,,,
380,1,三長兩短,sann-tn̂g-nn̄g-té,,,,
381,1,上青苔,tshiūnn-tshenn-thî/tshiūnn-tshinn-thî,,,,
382,1,久長病,kú-tn̂g-pēnn/kú-tn̂g-pīnn,,,,
383,1,千金譜,tshian-kim-phóo,,,,
384,1,大便,tāi-piān,,,,
385,1,大前年,tuā-tsûn--nî,,,,
386,1,大姨,tuā-î,,,,
387,1,上帝,Siōng-tè,,,,
388,1,上帝公,Siōng-tè-kong,,,,
389,1,三思,sàm-su,,,,
390,1,大後日,tuā-āu--ji̍t/tuā-āu--li̍t,,,,
391,1,大後年,tuā-āu--nî,,,,
392,1,山後鳥,suann-āu-tsiáu,,,,
393,1,也是,iā-sī,,,,
394,1,才是,tsiah-sī,,,,
395,1,大昨日,tuā-tso̍h--ji̍t/tuā-tso̍h--li̍t,,,,
396,1,大某,tuā-bóo,,,,
397,1,山洞,suann-tōng,,,,
398,1,三牲,sam-sing,,,,
399,1,三界公,Sam-kài-kong,,,,
400,1,三界娘仔,sam-kài-niû-á,,,,
401,1,山珍海味,san-tin-hái-bī,,,,
402,1,山苳蒿,suann-tang-o,,,,
403,1,低音,kē-im,,,,
