序號,方言差編碼,字目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
62,[方]318,穿,tshǐng,tshīng,tshīng,tshiōng,tshīng,tshīng,tshīng,tshīng,tshīng,tshīng
63,[方]323,清(～明),tshuinn,tshinn,tshinn,tshing,tshing,tshing,tshinn,tshinn,tshinn,tshing
65,[方]362,帚(掃～),tsiú; siú,tshiú,tsiú; tshiú,tshiú,tshiú,tshiú,tsiú,tsiú,tshiú,tshiú
66,[方]327,鯧,tshiunn,tshiunn,tshiunn,tshiunn,tshionn,tshiunn,tshiunn,tshiunn,tshiunn,tshiunn
67,[方]328,槍,tshiunn,tshiunn,tshiunn,tshiunn,tshionn,tshiunn,tshiunn,tshiunn,tshiunn,tshiunn
68,[方]329,腔(面～),tshiunn,tshiunn,tshiunn,tshiunn,tshionn,tshiunn,tshiunn,tshiunn,tshiunn,tshiunn
69,[方]330,廠,tshiáng,tshiúnn,tshiúnn,tshiúnn,tshiónn,tshiúnn,tshiúnn,tshiúnn,tshiúnn,tshiúnn
70,[方]331,搶,tshiúnn,tshiúnn,tshiúnn,tshiúnn,tshiónn,tshiúnn,tshiúnn,tshiúnn,tshiúnn,tshiúnn
72,[方]333,唱,tshiùnn,tshiùnn,tshiùnn,tshiùnn,tshiòr; tshiònn,tshiùnn,tshiùnn,tshiùnn,tshiùnn,tshiùnn
73,[方]334,牆,tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiônn,tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiûnn
74,[方]335,颺(～風),tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiônn,tshiûnn,tshiûnn,tshiûnn,tshiûnn,tshiûnn
75,[方]336,象,tshiǔnn; tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
76,[方]337,像,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
77,[方]338,匠,tshiǔnn,tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
78,[方]339,上,tshiǔnn,tshiūnn,tshiūnn,tshiūnn,tshiōnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn,tshiūnn
79,[方]340,穿,tshng,tshng,tshng,tshuinn,tshng,tshng,tshng,tshng,tshng,tshng
80,[方]341,川(尻～),tshng,tshng,tshng,tshuinn,tshng,tshng,tshng,tshng,tshng,tshng
81,[方]343,草,tshó,tshó,tshó,tshó,tshór,tshór,tshó,tshó,tshó,tshó
82,[方]344,糙,tshò,tshò,tshò,tshò,tshòr,tshòr,tshò,tshò,tshò,tshò
83,[方]345,剉,tshò,tshò,tshò,tshò,tshòr,tshòr,tshò,tshò,tshò,tshò
84,[方]342,𧮙,tsho̍h,tshoh,tshoh,tshoh,tshorh,tshorh,tsho̍h,tsho̍h,tsho̍h,tsho̍h
85,[方]349,處,tshìr,tshìr,tshù,tshù,tshù,tshù,tshìr,tshù,tshù,tshù
86,[方]350,次,tshìr,tshìr,tshù,tshù,tshù,tshù,tshìr,tshù,tshìr,tshù
87,[方]347,舒(鋪),tshir,tshir,tshu,tshu,tshu,tshu,tshir,tshu,tshu,tshu
88,[方]311,吹,tsher,tsher,tshe,tshue,tshue,tshue,tsher,tshe,tsher;tshe,tshue
89,[方]312,炊,tsher,tsher,tshe,tshue,tshue,tshue,tsher,tshe,tsher;tshe,tshue
90,[方]313,髓,tshér,tshér,tshé,tshué,tshué,tshué,tshér,tshé,tshér;tshé,tshué
91,[方]314,箠,tshêr,tshêr,tshê,tshuê,tshuê,tshuê,tshêr,tshê,tshêr;tshê,tshuê
92,[方]315,揣,tshěr,tshēr,tshē,tshuē,tshuē,tshuē,tshěr,tshē,tshēr;tshē,tshuē
93,[方]404,挨,ue,ere,ue,e,e,e,ue,ue,ue,e
94,[方]405,矮,ué,eré,ué,é,é,é,ué,ué,ué,é
95,[方]406,鞋,uê,erê,uê,ê,ê,ê,uê,uê,uê,ê
96,[方]407,會,ē,erē,uē,ē,ē,ē,ē,ē,ē,ē
97,[方]408,狹,ue̍h,ere̍h,ue̍h,e̍h,e̍h,e̍h,ue̍h,ue̍h,ue̍h,e̍h
98,[方]056,嬰,inn,inn,inn,enn,enn,enn,inn,inn,inn,enn
100,[方]058,楹,înn,înn,înn,ênn,ênn,ênn,înn,înn,înn,ênn
101,[方]021,語,gír,gír,gú,gí,gú,gí,gír,gú,gír;gí,gí
102,[方]023,銀,gûn,gîrn,gûn,gîn,gîn,gîn,gûn,gûn,gûn,gîn
103,[方]018,睨,gûn,gîrn,gîn,gîn,gîn,gîn,gûn,gîn,gîn,gîn
104,[方]163,研(～擀),nguí,gíng,ngái,gíng,gíng,gíng,ngái,gán,gíng,gíng
105,[方]017,鵝,giâ,giâ,giâ,gô,gôr,gôr,giâ,giâ,giâ,gô
106,[方]020,五,gǒo,gōo,gōo,gōo,gōo,gōo,gōo,gōo,gōo,gōo
107,[方]019,餓,gǒ,gō,gō,gō,gōr,gōr,gǒ,gō,gō,gō
108,[方]022,遇,bǔ,gū,gū,gū,gū,gū,gū,gū,bū,gū
109,[方]015,月,ge̍rh,ge̍rh,ge̍h,gue̍h,gue̍h,gue̍h,ge̍rh,ge̍h,ge̍rh;ge̍h,gue̍h
110,[方]048,許,hír,hír,hú,hí,hú,hí,hír,hú,hír;hí,hí
111,[方]049,魚,hîr,hîr,hû,hî,hî,hî,hîr,hû,hîr;hî,hî
112,[方]054,恨,hūn,hīrn,hūn,hīn,hīn,hīn,hūn,hūn,hūn,hūn
113,[方]031,還,hîng,hîng,hîng,hân,hîng,hîng,hîng,hân,hîng,hîng
114,[方]024,莧,hǐng,hīng,hāng,hīng,hīng,hīng,hīng,hīng;hāng,hīng,hīng
115,[方]032,貺,hǐng,hīng,hīng,hīng,hīng,hīng,hīng,hīng;hān,hīng,hīng
116,[方]030,耳,hǐ,hī,hī,hīnn,hīnn,hīnn,hī,hī,hī,hīnn
117,[方]033,后,hiō,hiō,hiō,hōo,hiōr,hiōr,hōo,hiō,hiō,hiō
118,[方]036,鄉,hiunn,hiunn,hiunn,hiunn,hionn,hiunn,hiunn,hiunn,hiunn,hiunn
119,[方]037,香,hiunn,hiunn,hiunn,hiunn,hionn,hiunn,hiunn,hiunn,hiunn,hiunn
120,[方]039,荒,hng,hng,hng,huinn,hng,hng,hng,hng,hng,hng
121,[方]040,昏,hng,hng,hng,huinn,hng,hng,hng,hng,hng,hng
122,[方]041,園,hn̂g,hn̂g,hn̂g,huînn,hn̂g,hn̂g,hn̂g,hn̂g,hn̂g,hn̂g
123,[方]042,遠,hňg,hn̄g,hn̄g,huīnn,hn̄g,hn̄g,hn̄g,hn̄g,hn̄g,hn̄g
124,[方]047,雨,hǒo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo,hōo
125,[方]034,後,hiǒ,hiō,hiō,hōo,hiōr,hōo; hiōr,hōo,hiō,hiō,hiō
126,[方]035,厚,hiō,hiō,hiō,hōo,hōo,hōo,hōo,hiō,hiō,hōo
127,[方]043,好,hó,hó,hó,hó,hór,hór,hó,hó,hó,hó
128,[方]044,河,hô,hô,hô,hô,hôr,hôr,hô,hô,hô,hô
129,[方]045,壕,hô,hô,hô,hô,hôr,hôr,hô,hô,hô,hô
130,[方]046,號,hǒ,hō,hō,hō,hōr,hōr,hō,hō,hō,hō
131,[方]050,莖(芋～),huînn,huînn,huâinn,huâinn,huâinn,huâinn,huâinn,huâinn,huâinn,huâinn
132,[方]051,犯,huǎn,huān,huān,huān,huān,huān,huān,huān,huān,huān
133,[方]052,範,huǎn,huān,huān,huān,huān,huān,huān,huān,huān,huān
134,[方]025,灰,her,her,he,hue,hue,hue,her,he,her;he,hue
135,[方]026,火,hér,hér,hé,hué,hué,hué,hér,hé,hér;hé,hué
136,[方]027,歲,hèr,hèr,hè,huè,huè,huè,hèr,hè,hèr;hè,huè
137,[方]028,貨,hèr,hèr,hè,huè,huè,huè,hèr,hè,hèr;hè,huè
138,[方]029,回,hêr,hêr,hê,huê,huê,huê,hêr,hê,hêr;hê,huê
139,[方]053,血,huih,huih,huih,hueh,hueh,hueh,huih,huih,huih,hueh
140,[方]409,危,guî,guî,uî,huî,huî,huî,guî,guî,guî;luî,guî;huî
141,[方]403,預,ǐr,īr,ū,ī,ī,ī,īr,ū,īr;ī,ī
142,[方]055,芫,ian,iân,iân,iân,iân,iân,uân,iân,iân,iân
143,[方]059,鴦,iunn,iunn,iunn,iunn,ionn,iunn,iunn,iunn,iunn,iunn
144,[方]060,養,iúnn,iúnn,iúnn,iúnn,iónn,iúnn,iúnn,iúnn,iúnn,iúnn
145,[方]061,舀,ió,ió,iúnn,iúnn,iónn,iúnn,iúnn,iúnn,ió,iúnn
146,[方]062,羊,iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
147,[方]063,洋,iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
148,[方]064,溶,iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
149,[方]065,陽(半陰～),iûnn,iûnn,iûnn,iûnn,iônn,iûnn,iûnn,iûnn,iûnn,iûnn
150,[方]066,樣,iǔnn,iūnn,iūnn,iūnn,iōnn,iūnn,iūnn,iūnn,iūnn,iūnn
151,[方]169,抓,liàu,jiàu,niàu,jiàu,jiàu,jiàu,liàu,jiàu,liàu;ngiàu,jiàu;giàu
152,[方]137,逐(追),lip,jip,lip,jik,jiok,jiok,tsip,jiok,lip,giok
153,[方]138,日,li̍t,ji̍t,li̍t,ji̍t,ji̍t; li̍t,ji̍t,li̍t,ji̍t,ji̍t;li̍t,ji̍t;gi̍t
154,[方]140,乳,lú,jú,lú,jí,jú; lú,jú,lú,jú,jú;lú,jú
156,[方]134,字,lǐ,jī,lī,jī,jī,jī,lī,jī,jī;lī,jī;gī
157,[方]132,挼,lêr,jêr,lê,juê,juê,juê,lêr,jê,jêr;lêr;lê,juê
158,[方]119,雞,kue,kere,kue,ke,ke,ke,kue,kue,kue,ke
159,[方]120,街,kue,kere,kue,ke,ke,ke,kue,kue,kue,ke
160,[方]121,疥,kuè,kerè,kuè,kè,kè,kè,kuè,kuè,kuè,kè
161,[方]122,膎,kuê,kerê,kuê,kê,kê,kê,kuê,kuê,kuê,kê
162,[方]097,更,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
163,[方]098,庚,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
164,[方]099,羹,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
165,[方]100,經,kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
166,[方]101,驚(～蟄),kinn,kinn,kinn,kenn,kenn,kenn,kinn,kinn,kinn,kenn
167,[方]102,哽,kínn,kínn,kínn,kénn,kénn,kénn,kínn,kínn,x,kénn
168,[方]112,居,kir,kir,ku,ki,ku,ki,kir,ku,kir,ki
169,[方]113,車,kir,kir,ku,ki,ki,ki,kir,ku,kir;ki,ki
170,[方]114,矩,kír,kír,kú,kí,kí,kí,kír,kú,kír;kí,kí
171,[方]115,舉,kír,kír,kú,kí,kí,kí,kír,kú,kír;kí,kí
172,[方]116,據,kìr,kìr,kù,kì,kì,kì,kìr,kù,kìr;kì,kì
173,[方]117,鋸,kìr,kìr,kù,kì,kù,kì,kìr,kù,kìr;kì,kì
174,[方]094,屐(木～),kia̍h,kia̍h,kia̍h,kia̍h,kia̍h,kia̍h,khia̍h,khia̍h;kia̍h,kia̍h,kia̍h
175,[方]095,囝,kánn,kánn,kiánn,kiánn,kiánn,kiánn,kiánn,kiánn,kiánn,kiánn
176,[方]126,斤,kun,kirn,kun,kin,kin,kin,kun,kun,kun,kin
177,[方]127,巾,kun,kirn,kun,kin,kin,kin,kun,kun,kun,kin
178,[方]128,筋,kun,kirn,kun,kin,kin,kin,kun,kun,kun,kin
179,[方]129,近,kǔn; kūn,kīrn,kūn,kīn,kīn,kīn,kūn,kūn,kūn,kīn
180,[方]096,楗,kǐng,kīng,kīng,kīng,kīng,kīng,kīng,kān,kīng,kīng
181,[方]103,薑,kiunn,kiunn,kiunn,kiunn,kionn,kiunn,kiunn,kiunn,kiunn,kiunn
182,[方]104,羌,kiunn,kiunn,kiunn,kiunn,kionn,kiunn,kiunn,kiunn,kiunn,kiunn
183,[方]105,光,kng,kng,kng,kuinn,kng,kng,kng,kng,kng,kng
184,[方]106,捲,kńg,kńg,kńg,kuínn,kńg,kńg,kńg,kńg,kńg,kńg
185,[方]107,管,kńg,kńg,kńg,kuínn,kńg,kńg,kńg,kńg,kńg,kńg
