華語,詞條編號,詞條名稱
不停,4405,直直
不停喊叫,4811,咻咻叫
不像樣,923,毋成樣
不像樣,922,毋成猴
不像樣,738,不答不七
不像樣,2541,有款
不像話,923,毋成樣
不允許,1020,毋准
不光彩,1216,歹聽
不免,12943,難免
不入流,4559,阿沙不魯
不公平,5553,重敧爿
不公平,445,大細目
不再,50123,不再
不再計較,9729,煞去
不准,52915,不准
不分晝夜,8684,無暝無日
不切實際,9041,虛華
不划算,6668,袂和
不划算,10764,算無盤
不利,50512,不利
不動產,715,不動產
不動聲色,8705,無講無呾
不務正業,4165,放蕩
不務正業,13558,𨑨迌人
不只,931,毋但
不只,665,不但
不只,620,不止
不只,50258,不只
不可,6667,袂使得
不可,6666,袂使
不可,1070,毋通
不可,50102,不可
不可以,6659,袂用得
不可以,6667,袂使得
不可以,6666,袂使
不可以,6680,袂當
不可以,6676,袂得通
不可思議,51470,不可思議
不可行,8670,無通
不合,6660,袂合
不合,6668,袂和
不合常理,3772,奇
不合理,11218,潲
不合算,10758,算袂和
不同,8611,無仝
不吭聲,11669,噷噷
不在乎,1891,皮皮
不堅固,6651,荏
不夠,1049,欠缺
不夠意思,8678,無意無思
不夠重,8661,無夠重
不大方,8673,無量
不好,910,毋好
不好,8366,惡
不好意思,914,毋好勢
不好意思,1103,歹勢
不好的,985,歹空
不好的口感,7784,粕粕
不如,10269,較輸
不如,1019,毋值
不如,50215,不如
不妥切,8670,無通
不嫌棄,894,毋甘嫌
不孕,50811,不孕
不孝,3192,忤逆
不孝,668,不孝
不孝順,668,不孝
不守小節,11589,靠俗
不守法,678,不法
不安,50812,不安
不安定,6083,捙盤
不宜,50813,不宜
不容易,10408,僫
不實,51356,不實
不實的,8692,無影
不對,1099,毋著
不對勁,1002,毋是勢
不小心,8669,無細膩
不小心,8665,無張持
不巧,8634,無拄好
不巧,6997,偏偏
不巧極了,9944,聖拄聖
不平,52606,不平
不平安,909,欠安
不平衡,5553,重敧爿
不平順,6670,袂直
不幸,966,歹命
不幸,8360,悲慘
不幸,9083,註死
不幸,50513,不幸
不得,6676,袂得通
不得,50682,不得
不得了,719,不得了
不得善終,916,歹死
不得安寧,3007,吵家抐計
不得安寧,3006,吵家抐宅
不得已,8631,無奈
不得已,8632,無奈何
不得已,8617,無可奈何
不得已,3784,姑不而將
不得已,720,不得已
不得要領,8604,無下落
不得要領,7410,掠無頭總
不得體,1076,歹喙
不必,2885,免
不必,932,毋免
不忍,889,毋甘
不怕,2957,免驚
不怕,1219,毋驚
不情不願,1058,毋情願
不想動,12826,懶懶
不慌不忙,639,勻仔是
不懂,6684,袂曉
不懂,1031,毋捌
不成,917,毋成
不才,602,不才
不承擔,2580,死賴人
不敢,1082,毋敢
不敢當,734,不敢當
不敢當,3677,受袂起
不料,8685,無疑
不料,8686,無疑悟
不斷,50048,不斷
不方便,914,毋好勢
不明,52110,不明
不明亮,6319,烏暗
不明朗,12229,曖昧
不是,1000,毋是
不時,708,不時
不曾,1031,毋捌
不會,6684,袂曉
不服,676,不服
不止,620,不止
不正直,13233,彎曲
不正經,11070,嬈花
不正經,13523,𡳞神
不正經,219,三八
不比,52335,不比
不求人,669,不求人
不治之症,1044,歹症頭
不法,678,不法
不浮誇,2564,樸實
不清不楚,5855,哩哩囉囉
不清白,12229,曖昧
不測,9465,意外
不測,380,三長兩短
不湊巧,914,毋好勢
不湊巧,974,毋拄好
不滿,762,不滿
不然,5498,若無
不熟,1892,生份
不爽,6715,起毛䆀
不理想,9962,落氣
不甘心,896,毋甘願
不甘心,1209,毋願
不甘願,896,毋甘願
不用,2885,免
不用,932,毋免
不用說,7861,莫講
不用錢,2938,免費
不盡,52916,不盡
不相干,8645,無相干
不省人事,987,毋知人
不知,986,毋知
不知,989,毋知影
不知不覺,51766,不知不覺
不知死活,5962,崁頭崁面
不知死活,988,毋知死
不知羞恥,6665,袂見笑
不知道,986,毋知
不知道,989,毋知影
不確定,8598,無一定
不穩定,10170,跳
不等,51355,不等
不答應,1020,毋准
不管,8695,無論
不管,50125,不管
不管他,10751,管待伊
不義,755,不義
不義之財,10427,僥倖錢
不聲不響,8705,無講無呾
不肖,52336,不肖
不肖之徒,918,毋成人
不肖子,6709,逆子
不肖子,6779,討債囝
不能,6667,袂使得
不能,6666,袂使
不能,6680,袂當
不能,6676,袂得通
不能,910,毋好
不能夠,6659,袂用得
不能用,6659,袂用得
不能說,6687,袂講得
不自在,4038,拘束
不舒服,12836,礙虐
不舒服,12347,艱苦
不舒服,974,毋拄好
不良,50443,不良
不良少女,969,太妹
不良少年,920,毋成囝
不良少年,904,歹囝
不良少年,994,太保
不良少年,13559,𨑨迌囡仔
不良的,8397,惡性
不行,6659,袂用得
不行,6667,袂使得
不行,6666,袂使
不行,6680,袂當
不行,910,毋好
不要,8676,無愛
不要,1070,毋通
不要,999,毋挃
不要,7838,莫
不要緊,8622,無打緊
不要緊,8648,無要緊
不要緊,8635,無所謂
不要臉,6665,袂見笑
不要臉,13526,𡳞蔓
不要臉,661,不死鬼
不要說,7861,莫講
不見,8614,無去
不見,4016,拍交落
不解,50869,不解
不言不語,8705,無講無呾
不討喜,8600,無人緣
不記得,6675,袂記得
不該,51107,不該
不該說,1631,加講話
不認識,1031,毋捌
不論,8695,無論
不論,1142,毋管
不論,50176,不論
不講理,11802,橫霸霸
不講理的,13167,霸
不識趣,11625,儑
不識趣,11634,儑面
不識趣,11637,儑頭儑面
不識趣,9708,歁頭歁面
不變,51108,不變
不足,1049,欠缺
不足,50165,不足
不足月,8659,無夠月
不過,8609,猶毋過
不過,1124,毋過
不過,664,不而過
不過,2925,但是
不過,50007,不過
不過爾爾,2330,如此如此
不道德,1816,失德
不錯,6656,袂䆀
不鏽鋼,31143,sir33 ten55 le51 su11
不需細想,471,土想
不需要,2885,免
不需要,932,毋免
不順,12836,礙虐
不順眼,12833,礙目
不願意,1209,毋願
不高興,6715,起毛䆀
丐頭,410,乞食頭
丑,567,丑
且慢,10540,慢且
且慢,10541,慢且是
且慢,1377,且慢
世,1302,世
世,1303,世
世上,53997,世上
世世代代,9916,萬世
世世代代,9917,萬代
世事,1340,世事
世人,1373,世間人
世代,1330,世代
世代,6033,時代
世俗,1348,世俗
世家,53998,世家
世態人生,1367,世情
世故,1367,世情
世界,1355,世界
世界,831,天下
世紀,1356,世紀
世運,36097,世運
世間,1372,世間
丘,41024,丘
