title,radical,non_radical_stroke_count,stroke_count
𪚵,龜,4,20
𪚶,龜,5,21
𪚷,龜,5,21
𪚸,龜,5,21
𪚹,龜,5,21
𪚺,龜,5,21
𪚻,龜,5,21
𪚼,龜,5,21
𪚽,龜,5,21
𪚾,龜,7,23
𪚿,龜,7,23
𪁫,鳥,7,18
𪛀,龜,8,24
𪛁,龜,9,25
𪛂,龜,11,27
𪛃,龜,11,27
𪛄,龜,11,27
𪛅,龜,12,28
𪛆,龜,12,28
𪛇,龜,14,30
𪛈,龜,17,33
𪛉,龜,0,16
𪛊,龠,4,21
𪛋,龠,8,25
𪛌,龠,8,25
𪛍,龠,8,25
𪛎,龠,9,26
𪛏,龠,9,26
𪁬,鳥,7,18
𪛐,龠,9,26
𪛑,龠,9,26
𪛒,龠,10,27
𪛓,龠,11,28
𪛔,龠,14,31
𪛕,龠,16,33
𪛖,龠,20,37
𪁭,鳥,7,18
𪁮,鳥,7,18
𪁯,鳥,7,18
𪀆,鳥,5,16
𪞠,冫,7,9
𪞡,冫,7,9
𪞢,冫,8,10
𪞣,冫,8,10
𪞤,冫,8,10
𪞥,冫,8,10
𪞦,冫,9,11
𪞧,冫,9,11
𪞨,冫,9,11
𪞩,冫,10,12
𪞪,冫,10,12
𪞫,冫,11,13
𪞬,冫,11,13
𪞭,冫,12,14
𪞮,冫,13,15
𪞯,冫,14,16
𪁺,鳥,8,19
𪞰,冫,18,20
𪞱,几,4,6
𪞲,几,5,7
𪞳,几,8,10
𪞴,几,9,11
𪞵,几,11,13
𪞶,凵,3,5
𪞷,凵,6,8
𪞸,凵,8,10
𪞹,凵,10,12
𪞺,凵,11,13
𪞻,凵,11,13
𪞼,凵,16,18
𪞽,凵,17,19
𪞾,刀,4,6
𪞿,刀,4,6
𪁻,鳥,8,19
𪟀,刀,4,6
𪟁,刀,5,7
𪟂,刀,5,7
𪟃,刀,6,8
𪟄,刀,6,8
𪟅,刀,6,8
𪟆,刀,7,9
𪟇,刀,7,9
𪟈,刀,8,10
𪟉,刀,8,10
𪟊,刀,9,11
𪟋,刀,9,11
𪟌,刀,9,11
𪟍,刀,9,11
𪟎,刀,10,12
𪟏,刀,10,12
𪁼,鳥,8,19
𪟐,刀,10,12
𪟑,刀,11,13
𪟒,刀,11,13
𪟓,刀,11,13
𪟔,刀,13,15
𪟕,刀,14,16
𪟖,刀,14,16
𪟗,力,5,7
𪟘,力,5,7
𪟙,力,5,7
𪟚,力,6,8
𪟛,力,6,8
𪟜,力,7,9
𪟝,力,8,10
𪟞,力,8,10
𪟟,力,8,10
𪁽,鳥,8,19
𪟠,力,9,11
𪟡,力,10,12
𪟢,力,10,12
𪟣,力,11,13
𪟤,力,12,14
𪟥,力,12,14
𪟦,力,13,15
𪟧,力,19,21
𪟨,匕,1,3
𪟩,匕,4,6
𪟪,匕,7,9
𪟫,匕,11,13
𪟬,匚,4,6
𪟭,匚,5,7
𪟮,匚,5,7
𪟯,匚,7,9
𪁾,鳥,8,19
𪟰,匚,8,10
𪟱,匚,12,14
𪟲,匚,18,20
𪟳,十,5,7
𪟴,十,8,10
𪟵,十,9,11
𪟶,十,11,13
𪟷,十,12,14
𪟸,十,13,15
𪟹,十,13,15
𪟺,十,15,17
𪟻,十,16,18
𪟼,十,18,20
𪟽,卜,2,4
𪟾,卜,5,7
𪟿,卜,8,10
𪁿,鳥,8,19
𪀇,鳥,5,16
𪢠,口,16,19
𪢡,口,16,19
𪢢,口,17,20
𪢣,口,17,20
𪢤,口,17,20
𪢥,口,19,22
𪢦,口,21,24
𪢧,口,21,24
𪢨,囗,4,7
𪢩,囗,5,8
𪢪,囗,6,9
𪢫,囗,7,10
𪢬,囗,8,11
𪢭,囗,8,11
𪢮,囗,10,13
𪢯,囗,11,14
𪂊,鳥,8,19
𪢰,囗,13,16
𪢱,土,2,5
𪢲,土,2,5
𪢳,土,3,6
𪢴,土,3,6
𪢵,土,3,6
𪢶,土,3,6
𪢷,土,3,6
𪢸,土,4,7
𪢹,土,4,7
𪢺,土,4,7
𪢻,土,4,7
𪢼,土,4,7
𪢽,土,4,7
𪢾,土,4,7
𪢿,土,4,7
𪂋,鳥,8,19
𪣀,土,4,7
𪣁,土,4,7
𪣂,土,4,7
𪣃,土,5,8
𪣄,土,5,8
𪣅,土,5,8
𪣆,土,5,8
𪣇,土,5,8
𪣈,土,5,8
𪣉,土,5,8
𪣊,土,5,8
𪣋,土,6,9
𪣌,土,6,9
𪣍,土,6,9
𪣎,土,6,9
𪣏,土,6,9
𪂌,鳥,8,19
𪣐,土,6,9
𪣑,土,6,9
𪣒,土,6,9
𪣓,土,6,9
𪣔,土,7,10
𪣕,土,7,10
𪣖,土,7,10
𪣗,土,7,10
𪣘,土,7,10
𪣙,土,7,10
𪣚,土,7,10
𪣛,土,7,10
𪣜,土,7,10
𪣝,土,7,10
𪣞,土,7,10
𪣟,土,7,10
𪂍,鳥,8,19
𪣠,土,7,10
𪣡,土,7,10
𪣢,土,7,10
𪣣,土,7,10
𪣤,土,8,11
𪣥,土,8,11
𪣦,土,8,11
𪣧,土,8,11
𪣨,土,8,11
𪣩,土,8,11
𪣪,土,8,11
𪣫,土,8,11
𪣬,土,8,11
𪣭,土,8,11
𪣮,土,8,11
𪣯,土,8,11
𪂎,鳥,8,19
𪣰,土,8,11
𪣱,土,8,11
𪣲,土,9,12
𪣳,土,9,12
𪣴,土,9,12
𪣵,土,9,12
𪣶,土,9,12
𪣷,土,9,12
𪣸,土,9,12
𪣹,土,9,12
𪣺,土,9,12
𪣻,土,9,12
𪣼,土,9,12
𪣽,土,9,12
𪣾,土,10,13
𪣿,土,10,13
𪂏,鳥,8,19
𪀈,鳥,5,16
𪦠,女,12,15
𪦡,女,12,15
𪦢,女,12,15
𪦣,女,12,15
𪦤,女,12,15
𪦥,女,12,15
𪦦,女,13,16
𪦧,女,13,16
𪦨,女,13,16
𪦩,女,13,16
𪦪,女,13,16
𪦫,女,14,17
𪦬,女,15,18
𪦭,女,15,18
𪦮,女,15,18
𪦯,女,15,18
𪂚,鳥,8,19
𪦰,女,16,19
𪦱,女,16,19
𪦲,女,17,20
𪦳,女,18,21
𪦴,女,18,21
𪦵,女,20,23
𪦶,子,4,7
𪦷,子,4,7
𪦸,子,4,7
𪦹,子,4,7
𪦺,子,5,8
𪦻,子,6,9
𪦼,子,8,11
𪦽,子,8,11
𪦾,子,8,11
𪦿,子,9,12
𪂛,鳥,8,19
𪧀,子,11,14
𪧁,子,13,16
𪧂,子,14,17
𪧃,子,14,17
𪧄,子,18,21
𪧅,宀,4,7
𪧆,宀,4,7
𪧇,宀,4,7
𪧈,宀,5,8
𪧉,宀,5,8
𪧊,宀,6,9
𪧋,宀,6,9
𪧌,宀,6,9
𪧍,宀,7,10
𪧎,宀,7,10
𪧏,宀,7,10
𪂜,鳥,8,19
𪧐,宀,7,10
𪧑,宀,8,11
𪧒,宀,8,11
𪧓,宀,8,11
𪧔,宀,9,12
𪧕,宀,9,12
𪧖,宀,9,12
𪧗,宀,9,12
𪧘,宀,9,12
𪧙,宀,9,12
𪧚,宀,9,12
𪧛,宀,10,13
𪧜,宀,10,13
𪧝,宀,10,13
𪧞,宀,10,13
𪧟,宀,10,13
𪂝,鳥,8,19
𪧠,宀,10,13
𪧡,宀,11,14
𪧢,宀,11,14
𪧣,宀,11,14
𪧤,宀,11,14
𪧥,宀,11,14
𪧦,宀,12,15
𪧧,宀,12,15
𪧨,宀,12,15
𪧩,宀,12,15
𪧪,宀,12,15
𪧫,宀,13,16
𪧬,宀,13,16
𪧭,宀,13,16
𪧮,宀,13,16
𪧯,宀,14,17
𪂞,鳥,8,19
𪧰,宀,15,18
𪧱,宀,15,18
𪧲,宀,15,18
𪧳,宀,17,20
𪧴,宀,17,20
𪧵,宀,18,21
𪧶,宀,21,24
𪧷,寸,3,6
𪧸,寸,8,11
𪧹,寸,8,11
𪧺,寸,9,12
𪧻,寸,12,15
𪧼,寸,12,15
𪧽,寸,13,16
𪧾,寸,14,17
𪧿,小,4,7
𪂟,鳥,8,19
𪀉,鳥,5,16
𪄊,鳥,10,21
𪄋,鳥,10,21
𪄌,鳥,10,21
𪄍,鳥,10,21
𪄎,鳥,10,21
𪄏,鳥,10,21
𪀐,鳥,5,16
𪄚,鳥,10,21
𪄛,鳥,10,21
𪄜,鳥,10,21
𪄝,鳥,10,21
𪄞,鳥,10,21
𪄟,鳥,10,21
𪀑,鳥,5,16
𪄪,鳥,10,21
𪄫,鳥,10,21
𪄬,鳥,10,21
𪄭,鳥,11,22
𪄮,鳥,11,22
𪄯,鳥,11,22
𪀒,鳥,6,17
𪄺,鳥,11,22
𪄻,鳥,11,22
𪄼,鳥,11,22
𪄽,鳥,11,22
𪄾,鳥,11,22
𪄿,鳥,11,22
𪀓,鳥,6,17
𪅊,鳥,11,22
𪅋,鳥,11,22
𪅌,鳥,11,22
𪅍,鳥,11,22
𪅎,鳥,11,22
𪅏,鳥,11,22
𪀔,鳥,6,17
𪅚,鳥,11,22
𪅛,鳥,11,22
𪅜,鳥,11,22
𪅝,鳥,11,22
𪅞,鳥,11,22
𪅟,鳥,11,22
𪀕,鳥,6,17
𪅪,鳥,11,22
𪅫,鳥,11,22
𪅬,鳥,11,22
𪅭,鳥,11,22
𪅮,鳥,11,22
𪅯,鳥,12,23
𪀖,鳥,6,17
𪅺,鳥,12,23
𪅻,鳥,12,23
𪅼,鳥,12,23
𪅽,鳥,12,23
𪅾,鳥,12,23
𪅿,鳥,12,23
𪀗,鳥,6,17
𪆊,鳥,12,23
𪆋,鳥,12,23
𪆌,鳥,12,23
𪆍,鳥,12,23
𪆎,鳥,12,23
𪆏,鳥,12,23
𪀘,鳥,6,17
𪆚,鳥,12,23
𪆛,鳥,12,23
𪆜,鳥,12,23
𪆝,鳥,12,23
𪆞,鳥,12,23
𪆟,鳥,12,23
𪀙,鳥,6,17
𪈊,鳥,16,27
𪈋,鳥,16,27
𪈌,鳥,16,27
𪈍,鳥,16,27
𪈎,鳥,16,27
𪈏,鳥,16,27
𪀠,鳥,6,17
𪈚,鳥,17,28
𪈛,鳥,17,28
𪈜,鳥,17,28
𪈝,鳥,17,28
𪈞,鳥,17,28
𪈟,鳥,17,28
𪀡,鳥,6,17
𪈪,鳥,18,29
𪈫,鳥,18,29
𪈬,鳥,18,29
𪈭,鳥,18,29
𪈮,鳥,19,30
𪈯,鳥,19,30
𪀢,鳥,6,17
𪈺,鳥,21,32
𪈻,鳥,22,33
𪈼,鳥,22,33
